MessageId,Message,CampaignName,CampaignId,UserId,UserName,RoomName,PhoneNumber,Status,ResponseMessage,SentAt
"4031","dsad{ID} dsadsa{Teléfono} ","8","9008","3","hec_tre_san@hotmail.com","Default","4771000002","1","","7/14/2025 2:55:20 PM"
"4027","dsad{ID} dsadsa{Teléfono} ","8","9008","3","hec_tre_san@hotmail.com","Default","6181000001","1","","7/14/2025 2:55:20 PM"
"4028","dsad{ID} dsadsa{Teléfono} ","8","9008","3","hec_tre_san@hotmail.com","Default","6181000002","0","","7/14/2025 2:55:20 PM"
"4029","dsad{ID} dsadsa{Teléfono} ","8","9008","3","hec_tre_san@hotmail.com","Default","4771000000","0","","7/14/2025 2:55:20 PM"
"4018","dsad{ID} dsadsa{Teléfono} ","8","9008","3","hec_tre_san@hotmail.com","Default","3121000001","0","","7/14/2025 2:55:20 PM"
"4019","dsad{ID} dsadsa{Teléfono} ","8","9008","3","hec_tre_san@hotmail.com","Default","3121000002","0","","7/14/2025 2:55:20 PM"
"4016","dsad{ID} dsadsa{Teléfono} ","8","9008","3","hec_tre_san@hotmail.com","Default","8441000002","1","","7/14/2025 2:55:20 PM"
"4012","dsad{ID} dsadsa{Teléfono} ","8","9008","3","hec_tre_san@hotmail.com","Default","9811000001","0","","7/14/2025 2:55:20 PM"
"4009","dsad{ID} dsadsa{Teléfono} ","8","9008","3","hec_tre_san@hotmail.com","Default","6121000001","1","","7/14/2025 2:55:20 PM"
"4003","dsad{ID} dsadsa{Teléfono} ","8","9008","3","hec_tre_san@hotmail.com","Default","4491000001","0","","7/14/2025 2:55:20 PM"
"3027","hola que tal ","campañas 2","7008","3","hec_tre_san@hotmail.com","Default","4441000001","1","","6/30/2025 9:59:10 PM"
"3023","hola que tal ","campañas 2","7008","3","hec_tre_san@hotmail.com","Default","4421000000","0","","6/30/2025 9:59:10 PM"
"3017","hola que tal ","campañas 2","7008","3","hec_tre_san@hotmail.com","Default","4431000000","0","","6/30/2025 9:59:10 PM"
"3018","hola que tal ","campañas 2","7008","3","hec_tre_san@hotmail.com","Default","4431000001","0","","6/30/2025 9:59:10 PM"
"3006","hola que tal ","campañas 2","7008","3","hec_tre_san@hotmail.com","Default","6121000001","1","hola","6/30/2025 9:59:08 PM"
"3007","hola que tal ","campañas 2","7008","3","hec_tre_san@hotmail.com","Default","6121000002","1","","6/30/2025 9:59:08 PM"
"3011","hola que tal ","campañas 2","7008","3","hec_tre_san@hotmail.com","Default","6141000000","1","","6/30/2025 9:59:08 PM"
"3002","hola que tal ","campañas 2","7008","3","hec_tre_san@hotmail.com","Default","4491000000","0","","6/30/2025 9:59:03 PM"
"1091","hola {Variable} ","Prueba en vivo","5005","3","hec_tre_san@hotmail.com","Default","6184966707","0","","6/23/2025 11:42:13 AM"
